category,level,year,name,id,credits,professor,department,sub-category,language,location,remark
Elective Subject for Major,Graduate,2,Studies in Neo-Confucian Ethical Thoughts,714.544 001,3,Paul Byounghwon Kim,Department of Ethics Education,,Korean,"[{'time': 'Thur.(18:30~21:20)', 'place': '12-501'}]", 
Elective Subject for Major,Graduate,0,Molecular Imaging for Drug Discovery,494.615 001,3,,Department of Molecular Medicine and Biopharmaceutical Sciences,,English,"[{'time': '', 'place': ''}]",ⓔ
Elective Subject for Major,Graduate,0,Topics in Theory of Body,722.761 001,3,Jeonghyo Kim,Department of Physical Education,,Korean,"[{'time': 'Thur.(18:00~20:50)', 'place': '71-1-213'}]", 
Elective Subject for Major,Undergraduate,3,New Concepts in Form 2,601.216 001,2,Minha Lee,Department of Oriental Painting,,Korean,"[{'time': 'Mon.(13:00~16:50)', 'place': '51-210'}]", 
Requisite Subject for Major,Undergraduate,2,Kidney and Urinary Tract,M1923.007600 001,2,Kook-Hwan Oh,Department of Medicine,,Korean,"[{'time': '', 'place': ''}]", 
Elective Subject for Major,Graduate,3,Trust Law,931.709 001,3,Wu Ying Chieh,Law,,Korean,"[{'time': 'Thur.(14:00~16:50)', 'place': '15-1-201'}]",®
Elective Subject for Major,Graduate,0,Topics in Signal Processing,430.758 001,3,Lee Jongho,Department of Electrical and Computer Engineering,,Korean,"[{'time': 'Mon.(14:00~15:15)', 'place': '301-104'}, {'time': 'Wed.(14:00~15:15)', 'place': '301-104'}]", 
Elective Subject for Major,Undergraduate,5,Interior Design,4012.524 001,3,Kim Hyun Cheol,Architecture Major,,Korean,"[{'time': 'Thur.(11:00~13:50)', 'place': '39-507'}]", 
Elective Subject for Major,Undergraduate,3,Mythology,114.311 001,3,Koo Hyung Chan,Department of Religious Studies,,Korean,"[{'time': 'Mon.(14:00~15:15)', 'place': '7-110'}, {'time': 'Wed.(14:00~15:15)', 'place': '7-110'}]", 
Requisite Subject for Major,Undergraduate,3,Chamber Music(Ensenble),6532.3303 002,1,Kim Hyung Chan,Woodwind and Percussion Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Undergraduate,3,Chamber Music(Ensenble),6532.3303 001,1,Yoon  Hyeri,Woodwind and Percussion Major,,Korean,"[{'time': '', 'place': ''}]", 
Elective Subject for Major,Undergraduate,3,Chamber Music(Emsemble),6533.3303 001,1,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Elective Subject for Major,Undergraduate,3,Chamber Music(Emsemble),6533.3303 002,1,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Elective Subject for Major,Undergraduate,3,Corporate Finance,251.323 001,3,Kim Woojin,Department of Business Administration,,Korean,"[{'time': 'Thur.(10:00~12:50)', 'place': '58-131'}]", 
Requisite Subject for Major,Undergraduate,3,Chamber Music(Ensenble),6532.3303 003,1,Sung Jae Chang,Woodwind and Percussion Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Undergraduate,3,Chamber Music(Ensenble),6532.3303 004,1,Kyusun Pyo,Woodwind and Percussion Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Undergraduate,3,Chamber Music(Ensenble),6532.3303 005,1,,Woodwind and Percussion Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Undergraduate,3,Chamber Music(Ensenble),6532.3303 006,1,,Woodwind and Percussion Major,,Korean,"[{'time': '', 'place': ''}]", 
Elective Subject for Major,Undergraduate,3,Chamber Music(Emsemble),6533.3303 003,1,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Elective Subject for Major,Undergraduate,3,Chamber Music(Emsemble),6533.3303 004,1,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Elective Subject for Major,Undergraduate,3,Chamber Music(Emsemble),6533.3303 005,1,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Undergraduate,3,Chamber Music(Ensenble),6532.3303 007,1,,Woodwind and Percussion Major,,Korean,"[{'time': '', 'place': ''}]", 
Elective Subject for Major,Undergraduate,3,Chamber Music(Emsemble),6533.3303 006,1,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Elective Subject for Major,Undergraduate,3,Chamber Music(Emsemble),6533.3303 007,1,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Elective Subject for Major,Undergraduate,3,Chamber Music(Emsemble),6533.3303 008,1,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Elective Subject for Major,Undergraduate,3,Chamber Music(Emsemble),6533.3303 009,1,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Elective Subject for Major,Undergraduate,3,Chamber Music(Emsemble),6533.3303 010,1,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Elective Subject for Major,Undergraduate,3,Chamber Music(Emsemble),6533.3303 011,1,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Elective Subject for Major,Undergraduate,3,Chamber Music(Emsemble),6533.3303 012,1,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Elective Subject for Major,Undergraduate,3,Chamber Music(Emsemble),6533.3303 013,1,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Elective Subject for Major,Undergraduate,3,Chamber Music (Ensemble),6531.3303 004,1,Lee Min Jung,Piano Major,,Korean,"[{'time': '', 'place': ''}]", 
Elective Subject for Major,Undergraduate,3,Chamber Music (Ensemble),6531.3303 002,1,Soyoon Jung,Piano Major,,Korean,"[{'time': '', 'place': ''}]", 
Elective Subject for Major,Undergraduate,3,Chamber Music (Ensemble),6531.3303 001,1,Park Jonghwa,Piano Major,,Korean,"[{'time': '', 'place': ''}]", 
Elective Subject for Major,Undergraduate,3,Chamber Music (Ensemble),6531.3303 003,1,Hyung Sue Woon,Piano Major,,Korean,"[{'time': '', 'place': ''}]", 
Elective Subject for Major,Graduate,0,Chamber Music Performance,M1801.000100 001,3,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Elective Subject for Major,Undergraduate,3,Chamber Music(Emsemble),6533.3303 014,1,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Elective Subject for Major,Undergraduate,3,Chamber Music(Emsemble),6533.3303 015,1,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Elective Subject for Major,Undergraduate,3,Chamber Music(Emsemble),6533.3303 016,1,,String Major,,Korean,"[{'time': '', 'place': ''}]", 
Elective Subject for Major,Undergraduate,3,Chamber Music (Ensemble),6531.3303 005,1,,Piano Major,,Korean,"[{'time': '', 'place': ''}]", 
Elective Subject for Major,Graduate,0,Experimental Design and Scientific Writing,5321.5604 001,2,Lim Jeong Mook,Biomodulation Major,,Korean,"[{'time': 'Fri.(15:00~16:50)', 'place': '200-1043'}]", 
Elective Subject for Major,Graduate,0,Studies in Real-Time Systems,M1522.005200 001,3,Lee  Changgun,Department of Computer Science and Engineering,,English,"[{'time': 'Mon.(15:30~16:45)', 'place': '302-308'}, {'time': 'Wed.(15:30~16:45)', 'place': '302-308'}]",ⓔ®Only for students under the instructor’s supervision
Elective Subject for Major,Graduate,0,Experimental Techniques 1,801.503 001,3,Shin Hyun Mu,Department of Medicine,,Korean,"[{'time': 'Fri.(16:00~18:50)', 'place': ' '}]", 
Requisite Subject for Major,Undergraduate,2,Laboratory Animal Medicine & Practice,552.227 001,4,Park  Jaehak,Department of Veterinary Medicine,,Korean,"[{'time': 'Mon.(09:00~10:50)', 'place': '85-206'}, {'time': 'Mon.(14:00~17:50)', 'place': '85-206'}, {'time': 'Tue.(09:00~10:50)', 'place': '85-206'}]", 
Elective Subject for Major,Graduate,0,Topics in Experimental Economics,M1314.001300 001,3,Syngjoo Choi,Department of Economics,,Korean,"[{'time': 'Wed.(14:00~16:50)', 'place': '16-215'}]", 
Elective Subject for Major,Graduate,,Topics in Interior Design,401.617 001,3,Kim Hyun Cheol,Department of Architecture and Architectural Engineering,,Korean,"[{'time': 'Mon.(11:00~13:50)', 'place': '39-507'}]", 
Elective Subject for Major,Graduate,0,Experimental and Quasi-experimental Policy Evaluation,M3206.000200 001,3,Booyuel Kim,Urban and Social Innovation Major,,English,"[{'time': 'Thur.(19:00~21:50)', 'place': '220-333'}]",ⓔ
Elective Subject for Major,Undergraduate,3,Existentialism,113.366 001,3,Hyun Jung Park,Department of Philosophy,,Korean,"[{'time': 'Fri.(12:30~15:20)', 'place': '5-212'}]", 
Elective Subject for Major,Undergraduate,3,Chamber Music (Ensemble),6531.3303 006,1,,Piano Major,,Korean,"[{'time': '', 'place': ''}]", 
Elective Subject for Major,Undergraduate,4,Basis of Experimental Modelling and Manuscript Preparation,M1700.000200 001,2,Lim Jeong Mook,"Food and Animal Biotechnology, Animal Biotechnology Major",,Korean,"[{'time': 'Fri.(13:00~14:50)', 'place': '200-4213'}]", 
Requisite Subject for Major,Undergraduate,2,Introduction to Experimental Psychology & Lab.,207.214 001,3,Park Joo Yong,Department of Psychology,,Korean,"[{'time': 'Mon.(15:30~16:20)', 'place': '16-216'}, {'time': 'Mon.(16:30~17:20)', 'place': '16-216'}, {'time': 'Wed.(15:30~16:20)', 'place': '16-216'}, {'time': 'Wed.(16:30~17:20)', 'place': '16-216'}]",®
Elective Subject for Major,Graduate,0,Studies in Psycholinguistics,108.619 001,3,Chorong Kang,Department of Linguistics,,Korean,"[{'time': 'Mon.(10:00~12:50)', 'place': '3-302'}]", 
Elective Subject for Major,Graduate,0,Psychological Anthropology,206.604 001,3,Jung  Hyang-Jin,Department of Anthropology,,Korean,"[{'time': 'Mon.(10:00~12:50)', 'place': '16-448-2'}]", 
Elective Subject for Major,Undergraduate,3,Experimental Linguistics,M1246.000900 001,3,Jeong Sunwoo,Department of Linguistics,,English,"[{'time': 'Mon.(09:30~10:45)', 'place': '8-B101'}, {'time': 'Mon.(13:00~13:50)', 'place': '14-602'}, {'time': 'Wed.(09:30~10:45)', 'place': '8-B101'}]",ⓔ
Elective Subject for Major,Undergraduate,3,Philosophy of Mind,113.464 001,3,Sun Hyung Rhee,Department of Philosophy,,Korean,"[{'time': 'Tue.(12:30~13:45)', 'place': '7-308'}, {'time': 'Thur.(12:30~13:45)', 'place': '7-308'}]", 
Elective Subject for Major,Undergraduate,3,Psychometrics and Psychological Testing,207.321A 001,3,Changju Hwang,Department of Psychology,,Korean,"[{'time': 'Fri.(13:00~15:50)', 'place': '16-111'}]",®
Elective Subject for Major,Graduate,0,Topics in Psychological Sciences,M1308.001600 001,3,Woo-Young Ahn,Department of Psychology,,Korean,"[{'time': 'Wed.(10:00~12:50)', 'place': '101-210'}]", 
Elective Subject for Major,Graduate,0,Theories of Psychotherapy and Advanced Counseling,207.522A 001,3,Lee Hoon Jin,Department of Psychology,,Korean,"[{'time': 'Thur.(13:30~16:20)', 'place': '16-M523'}]", 
Elective Subject for Major,Undergraduate,3,Mathematical Foundations of Deep Neural Networks,M1407.001200 001,3,Ernest Ryu,Department of Mathematical Sciences,,English,"[{'time': 'Tue.(15:30~16:45)', 'place': '26-B102'}, {'time': 'Thur.(15:30~16:45)', 'place': '26-B102'}]",ⓔ
Elective Subject for Major,Graduate,0,Esthetic Restorative Biomaterials,850.801 001,3,Chung Shin Hye,Department of Dentistry,,Korean,"[{'time': 'Wed.(11:00~13:50)', 'place': '#21-101'}]", 
Requisite Subject for Major,Graduate,3,Esthetic Dentistry,861.710 001,1,Seo Deoggyu,Department of Dentistry,,Korean,"[{'time': '', 'place': ''}]", 
Elective Subject for Major,Graduate,0,Cardiovascular Physiology and Metabolic Regulation,M1932.001200 001,3,Yin Hua Zhang,Department of Biomedical Sciences,,English,"[{'time': 'Mon.(18:00~20:50)', 'place': ' '}]",ⓔ
Elective Subject for Major,Undergraduate,4,Seafloor geochemistry and lab.,M1411.000600 001,3,Jung-Woo Park,Department of Earth and Environmental Sciences,,Korean,"[{'time': 'Wed.(10:00~11:50)', 'place': '25-1-304'}, {'time': 'Fri.(10:00~11:50)', 'place': '25-1-304'}]", 
Elective Subject for Major,Undergraduate,6,Advanced Pharmaceutical Research & Practice 1,370.4104B 006,6,Minsoo Noh,College of Pharmacy,,Korean,"[{'time': '', 'place': ''}]",®
Elective Subject for Major,Undergraduate,6,Advanced Pharmaceutical Research & Practice 1,370.4104B 005,6,Kwon Sung Won,College of Pharmacy,,Korean,"[{'time': '', 'place': ''}]",®
Elective Subject for Major,Undergraduate,6,Advanced Pharmaceutical Research & Practice 1,370.4104B 002,6,Lee  Miock,College of Pharmacy,,Korean,"[{'time': '', 'place': ''}]",®
Requisite Subject for Major,Undergraduate,4,Advanced Elective Course,M1923.010000 001,3,Kim Dong-Wan,Department of Medicine,,Korean,"[{'time': '', 'place': ''}]", 
Elective Subject for Major,Undergraduate,6,Advanced Pharmaceutical Research & Practice 1,370.4104B 001,6,Han Byung Woo,College of Pharmacy,,Korean,"[{'time': '', 'place': ''}]",®
Elective Subject for Major,Undergraduate,6,Advanced Pharmaceutical Research & Practice 1,370.4104B 003,6,Hong Song Hee,College of Pharmacy,,Korean,"[{'time': '', 'place': ''}]",®
Elective Subject for Major,Undergraduate,6,Advanced Pharmaceutical Research & Practice 1,370.4104B 004,6,Lee Jeewoo,College of Pharmacy,,Korean,"[{'time': '', 'place': ''}]",®
Elective Subject for Major,Undergraduate,3,Analog Electronic Circuits,430.301C 001,3,Jeong Deog-Kyoon,Department of Electrical and Computer Engineering,,Korean,"[{'time': 'Mon.(14:00~15:15)', 'place': '301-103'}, {'time': 'Wed.(14:00~15:15)', 'place': '301-103'}]",®
Elective Subject for Major,Undergraduate,6,Advanced Pharmaceutical Research & Practice 1,370.4104B 007,6,Chin Young-Won,College of Pharmacy,,Korean,"[{'time': '', 'place': ''}]",®
Elective Subject for Major,Undergraduate,6,Advanced Pharmaceutical Research & Practice 2,370.4105B 006,6,Minsoo Noh,College of Pharmacy,,Korean,"[{'time': '', 'place': ''}]",®
Elective Subject for Major,Undergraduate,6,Advanced Pharmaceutical Research & Practice 2,370.4105B 005,6,Kim  Daeduk,College of Pharmacy,,Korean,"[{'time': '', 'place': ''}]",®
Elective Subject for Major,Undergraduate,6,Advanced Pharmaceutical Research & Practice 2,370.4105B 002,6,Lee Seunghee,College of Pharmacy,,Korean,"[{'time': '', 'place': ''}]",®
Elective Subject for Major,Undergraduate,6,Advanced Pharmaceutical Research & Practice 2,370.4105B 001,6,Han Byung Woo,College of Pharmacy,,Korean,"[{'time': '', 'place': ''}]",®
Elective Subject for Major,Undergraduate,6,Advanced Pharmaceutical Research & Practice 2,370.4105B 007,6,Chang Tong-Shin,College of Pharmacy,,Korean,"[{'time': '', 'place': ''}]",®
Elective Subject for Major,Undergraduate,6,Advanced Pharmaceutical Research & Practice 2,370.4105B 003,6,Oh Jung Mi,College of Pharmacy,,Korean,"[{'time': '', 'place': ''}]",®
Elective Subject for Major,Undergraduate,6,Advanced Pharmaceutical Research & Practice 2,370.4105B 004,6,Park Hyeunggeun,College of Pharmacy,,Korean,"[{'time': '', 'place': ''}]",®
Elective Subject for Major,Undergraduate,3,Analog Electronic Circuits,430.301C 002,3,Jaeha Kim,Department of Electrical and Computer Engineering,,English,"[{'time': 'Tue.(09:30~10:45)', 'place': '301-102'}, {'time': 'Thur.(09:30~10:45)', 'place': '301-102'}]",ⓔ®
Elective Subject for Major,Undergraduate,4,Guidance of Young Children,M2808.001800 001,3,Minkyung Kim,Child Development and Family Studies Major,,Korean,"[{'time': 'Fri.(14:00~16:50)', 'place': '222-B202'}]",®
Elective Subject for Major,Undergraduate,3,Independent Studies on Child and Family Issues,357.331 001,2,Chin Meejung,Child Development and Family Studies Major,,Korean,"[{'time': 'Thur.(17:00~18:50)', 'place': '222-211'}]",®
Elective Subject for Major,Undergraduate,3,Research Methods in Child and Family Studies,357.211B 001,3,Chin Meejung,Child Development and Family Studies Major,,Korean,"[{'time': 'Tue.(14:00~15:15)', 'place': '222-635'}, {'time': 'Thur.(14:00~15:15)', 'place': '222-635'}]", 
Elective Subject for Major,Graduate,0,Research Methods in Child and Family Studies 1,M0000.024500 001,3,Kwon Soyoung,Department of Child Development and Family Studies,,Korean,"[{'time': 'Fri.(09:00~11:50)', 'place': '222-B204'}]", 
Elective Subject for Major,Undergraduate,4,Counseling Children,357.423 001,3,Park Hye Jun,Child Development and Family Studies Major,,Korean,"[{'time': 'Wed.(15:30~18:20)', 'place': '222-701'}]", 
Elective Subject for Major,Undergraduate,3,Studies in child Behavior and Observation,M2808.001300 001,3,,Child Development and Family Studies Major,,Korean,"[{'time': 'Fri.(10:00~12:50)', 'place': '222-B202'}]", 
Elective Subject for Major,Graduate,0,Qualitative Methods in Child and Family Research,M1468.001400 001,3,Jeon Gail,Department of Child Development and Family Studies,,Korean,"[{'time': '', 'place': ''}]",ⓒ
Elective Subject for Major,Graduate,0,Child Care Policy,M0000.025700 001,3,Youjeong Park,Department of Child Development and Family Studies,,Korean,"[{'time': 'Thur.(13:00~15:50)', 'place': '222-B106'}]", 
Elective Subject for Major,Graduate,0,Seminar in History of Traditional Asian Society,710.764 001,3,Yu Yongtae,History Major,,Korean,"[{'time': 'Wed.(18:00~20:50)', 'place': '12-411'}]", 
Elective Subject for Major,Graduate,0,Studies in Children’s Language Development,M0000.025200 001,3,Naya Choi,Department of Child Development and Family Studies,,Korean,"[{'time': 'Tue.(09:00~11:50)', 'place': '222-B204'}]",®ⓒ
Elective Subject for Major,Undergraduate,4,Asian Architecture and Urbanism,4012.530 001,3,Kim Hana,Department of Architecture and Architectural Engineering,,Korean,"[{'time': 'Thur.(10:00~12:50)', 'place': '39-B113'}]", 
Elective Subject for Major,Graduate,0,Seminar in Asian Regional Geography,208.572B 001,3,Edo Han Siu Andriesse,Department of Geography,,English,"[{'time': 'Mon.(10:00~12:50)', 'place': '16-M208'}]",ⓔ
Requisite Subject for Major,Undergraduate,2,Readings in Asian History for Teaching,M1858.000200 001,3,Yu Yongtae,Department of History Education,,Korean,"[{'time': 'Tue.(09:30~10:45)', 'place': '10-1-507'}, {'time': 'Thur.(09:30~10:45)', 'place': '10-1-507'}]", 
Requisite Subject for Major,Undergraduate,4,Supervised Research in Asian Studies,M2641.000300 001,3,Hawon Ku,Department of Asian Languages and Civilizations,,Korean,"[{'time': 'Fri.(17:00~19:50)', 'place': '5-211'}]", 
Elective Subject for Major,Undergraduate,3,Identity Design,M1774.000300 002,3,Lim Seona,Department of Design,,Korean,"[{'time': 'Thur.(10:00~11:50)', 'place': '49-215'}, {'time': 'Thur.(12:00~13:50)', 'place': '49-215'}]", 
Elective Subject for Major,Graduate,0,Studies in Identity Design2,M1774.007300 001,3,Sung Chun Kim,Department of Crafts and Design,,Korean,"[{'time': 'Tue.(15:00~17:50)', 'place': '49-115'}]", 
Requisite Subject for Major,Undergraduate,1,Instrumentation 2,6521.1298 001,1,Kim Gyoodong,Composition Major,,Korean,"[{'time': 'Thur.(12:00~13:50)', 'place': '55-302'}]",®
Elective Subject for Major,Graduate,0,Orofacial Myology,852.633 001,2,Kho Hong-Seop,Department of Dentistry,,Korean,"[{'time': 'Tue.(09:00~10:50)', 'place': ' '}]", 
Elective Subject for Major,Undergraduate,4,Ophthalmology and Clerkship,M1923.010900 001,2,Tae-Woo Kim,Department of Medicine,,Korean,"[{'time': '', 'place': ''}]", 
Elective Subject for Major,Graduate,3,Seminar in Maxillofacial Bone Diseases,861.S717 001,1,Lee Jae Il,Department of Dentistry,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Graduate,2,Diagnosis and Management of Orofacial Pain,861.621 001,1,Chung  Jin Woo,Department of Dentistry,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Graduate,1,Functional Anatomy of Stomatognatic System 2,861.567 001,1,Seong Kyun Kim,Department of Dentistry,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Graduate,1,Jawbone and Hard Tissue,861.577 001,1,Lee Gene,Department of Dentistry,,Korean,"[{'time': '', 'place': ''}]", 
Requisite Subject for Major,Undergraduate,3,Algorithms,4190.407 001,3,Moon  Byung-Ro,Department of Computer Science and Engineering,,English,"[{'time': 'Mon.(12:30~13:45)', 'place': '302-208'}, {'time': 'Wed.(12:30~13:45)', 'place': '302-208'}]","ⓔ®(1st~4th Day: Aug 10~Aug 13) Open ONLY to CSE major, Liberal studies (CSE major) undergraduate students (Starting from the 5th day: Aug 17) Open ONLY to CSE major, Liberal studies (CSE major), and double majors and minors of CSE including Artificial Intelligence major and System Semiconductor Engineering for AI major (Starting from the 6th day: Aug 18) Open to all students (only fixed number of students are available)"
Elective Subject for Major,Undergraduate,3,Introduction to Algorithms,430.329 001,3,Kim Taewhan,Department of Electrical and Computer Engineering,,Korean,"[{'time': 'Mon.(15:30~16:45)', 'place': '302-209'}, {'time': 'Wed.(15:30~16:45)', 'place': '302-209'}]",®
Elective Subject for Major,Graduate,0,Advanced Topics in Petrology,3345.742 001,3,Lee Hyunwoo,Department of Earth and Environmental Sciences,,English,"[{'time': 'Tue.(10:00~11:50)', 'place': '24-103'}, {'time': 'Thur.(10:00~11:50)', 'place': '24-103'}]",ⓔ
Elective Subject for Major,Undergraduate,3,Rock Mechanics for Mining,465.326 001,3,Song Jae-Joon,Department of Energy Resources Engineering,,Korean,"[{'time': 'Mon.(14:00~15:15)', 'place': '38-418'}, {'time': 'Wed.(14:00~15:15)', 'place': '38-418'}]", 
Elective Subject for Major,Graduate,0,Diagnostics in Ophthalmology,M2957.000300 001,3,Jeon Hyun Sun,Ophthalmology Major,,Korean,"[{'time': 'Tue.(18:00~20:50)', 'place': ' '}]", 
Elective General Subject,Undergraduate,3,Safety and Organizational Management Case Study(Military Science),M2571.000200 001,3,Kimyoungkil,R.O.T.C.,,Korean,"[{'time': 'Wed.(08:00~09:50)', 'place': ' '}, {'time': 'Thur.(08:00~09:50)', 'place': ' '}]", 
Elective Subject for Major,Undergraduate,2,Baseball,722.437 001,1,Kim Hyunwoo,Department of Physical Education,,Korean,"[{'time': 'Tue.(11:00~12:50)', 'place': ' '}]", 
Elective Subject for Major,Undergraduate,4,Wildlife Conservation and Management and Practice,5241.412 001,3,Chang-Yong Choi,Forest Environmental Science Major,,Korean,"[{'time': 'Thur.(14:00~15:50)', 'place': '200-2005'}, {'time': 'Thur.(16:00~17:50)', 'place': '200-2005'}]", 
Elective Subject for Major,Undergraduate,4,Field Techniques and Exercises,3345.424 001,3,Lee Hyunwoo,Department of Earth and Environmental Sciences,,Korean,"[{'time': 'Fri.(14:00~19:50)', 'place': '25-1-406'}]", 
Elective Subject for Major,Graduate,0,Comparative anatomy of wild animals,551.853 001,3,Junpei  Kimura,Department of Veterinary Medicine,,English,"[{'time': 'Wed.(13:30~16:20)', 'place': '85-1-209'}]",ⓔ
Elective Subject for Major,Graduate,0,Topics in Wildlife Management,5241.500 001,3,Chang-Yong Choi,Forest Environmental Science Major,,English,"[{'time': 'Fri.(14:00~16:50)', 'place': '200-2005'}]",ⓔ
Requisite Subject for Major,Undergraduate,3,Wild Animal Diseases & Practice,552.336 001,2,Yeon Seongchan,Department of Veterinary Medicine,,Korean,"[{'time': 'Mon.(12:00~12:50)', 'place': '85-307'}, {'time': 'Mon.(14:00~14:50)', 'place': '85-307'}, {'time': 'Mon.(15:00~18:50)', 'place': '85-307'}]", 
Elective Subject for Major,Graduate,0,Advanced Wildlife Medicine,M2180.000800 001,3,Yeon Seongchan,Department of Veterinary Medicine,,Korean,"[{'time': 'Wed.(09:00~11:50)', 'place': '85-725'}]", 
Requisite Subject for Major,Undergraduate,4,Pharmaceutical Care & Practice,370.2114A 002,2,Lee Juyeun,College of Pharmacy,,Korean,"[{'time': 'Fri.(15:00~15:50)', 'place': '#17--108'}, {'time': 'Fri.(16:00~17:50)', 'place': '#17--108'}]",®
Requisite Subject for Major,Undergraduate,4,Pharmaceutical Care & Practice,370.2114A 001,2,Eunkyung Euni Lee,College of Pharmacy,,Korean,"[{'time': 'Fri.(09:00~09:50)', 'place': '#17--108'}, {'time': 'Fri.(10:00~11:50)', 'place': '#17--108'}]",®
Elective Subject for Major,Graduate,1,Case Studies and Strategies in Drug Discovery and Development,M0000.022800 001,3,,Molecular Medicine and Biopharmaceutical Sciences Major,,English,"[{'time': '', 'place': ''}]",ⓔ
Elective Subject for Major,Graduate,0,Pharmacodynamics,551.589 001,3,Lee Soyeong,Department of Veterinary Medicine,,Korean,"[{'time': 'Tue.(15:00~17:50)', 'place': '85-905'}]", 
Requisite Subject for Major,Graduate,1,Principles and Practice of Drug Development,M0000.022900 001,3,Shin Youngkee,Department of Molecular Medicine and Biopharmaceutical Sciences,,English,"[{'time': 'Wed.(19:00~21:50)', 'place': ' '}]",ⓔ
Requisite Subject for Major,Undergraduate,2,Pharmacology in Nursing,811.221 001,2,Choi  Kwonsmi,College of Nursing,,Korean,"[{'time': 'Thur.(13:00~14:50)', 'place': '#13-226'}]", 
Elective Subject for Major,Graduate,0,Studies in Pharmacoproteomics,375.696 001,3,Kwon Sung Won,College of Pharmacy,,Korean,"[{'time': 'Thur.(09:00~11:50)', 'place': '143-105'}]", 
Elective Subject for Major,Graduate,,Pharmaco-Vigilance Policy and Research,M2175.001000 001,3,Hong Song Hee,College of Pharmacy,,Korean,"[{'time': 'Wed.(14:00~16:50)', 'place': ' '}]", 
Elective Subject for Major,Graduate,0,Topics in Pharmacokinetics Analysis,375.828 001,3,Chung  Suk-Jae,College of Pharmacy,,Korean,"[{'time': 'Tue.(13:00~15:50)', 'place': ' '}]", 
Elective Subject for Major,Graduate,0,Adverse Drug Reactions and Hypersensitivity,804.507 001,3,Kang Hye Ryun,Interdisciplinary Program in Clinical Pharmacology and Therapeutics Major,,Korean,"[{'time': 'Mon.(18:00~20:50)', 'place': ' '}]", 
Requisite Subject for Major,Undergraduate,5,Pharmacotherapy Laboratory 2,370.3110 001,1,Eunkyung Euni Lee,College of Pharmacy,,Korean,"[{'time': 'Tue.(11:00~11:50)', 'place': '#17--108'}, {'time': 'Wed.(11:00~11:50)', 'place': '#17--108'}]",®
Elective Subject for Major,Graduate,0,Advances in Pharmacotherapy,804.509 001,3,Yu Kyung-Sang,Interdisciplinary Program in Clinical Pharmacology and Therapeutics Major,,Korean,"[{'time': 'Fri.(10:00~12:50)', 'place': ' '}]", 
Requisite Subject for Major,Undergraduate,5,Pharmacotherapy 4,370.3104 001,4,Lee Juyeun,College of Pharmacy,,Korean,"[{'time': 'Wed.(09:00~10:50)', 'place': '#17--108'}, {'time': 'Wed.(13:00~14:50)', 'place': '#17--108'}]",®
Requisite Subject for Major,Undergraduate,5,Pharmacotherapy 3,370.3103 001,4,Eunkyung Euni Lee,College of Pharmacy,,Korean,"[{'time': 'Tue.(09:00~10:50)', 'place': '#17--108'}, {'time': 'Tue.(13:00~14:50)', 'place': '#17--108'}]",®
Requisite Subject for Major,Undergraduate,1,Understanding of Pharmaceutical Drugs,M1923.005800 001,3,Ye  Sang  Kyu,Department of Medicine,,Korean,"[{'time': '', 'place': ''}]", 
Elective Subject for Major,Undergraduate,5,Drug Delivery Systems,372.414 001,3,Oh Yu-Kyoung,College of Pharmacy,,Korean,"[{'time': 'Thur.(16:00~18:50)', 'place': '143-101'}]",®
Requisite Subject for Major,Undergraduate,4,Pharmacology 2,370.2106 001,2,Lee Seunghee,College of Pharmacy,,Korean,"[{'time': 'Thur.(09:00~11:50)', 'place': ' '}]",®
Requisite Subject for Major,Undergraduate,4,Pharmacology 1,370.2105 001,3,Lee Seunghee,College of Pharmacy,,Korean,"[{'time': 'Tue.(15:00~17:50)', 'place': ' '}]",®
Requisite Subject for Major,Undergraduate,3,Pharmaceutical Laboratory 2,370.1114 001,1,Kwon Sung Won,College of Pharmacy,,Korean,"[{'time': 'Thur.(13:00~16:50)', 'place': '21-110'}]",®
